,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,vix_close,treasury_10y,treasury_2y,sp500_return,vix_change,vix_pct_change,yield_spread_10y_2y,realized_volatility_5d,realized_volatility_10d,realized_volatility_21d,sp500_return_lag_1,sp500_return_lag_3,sp500_return_rolling_mean_5,yield_spread_change_5d,vix_x_realized_vol_5d,future_5d_realized_volatility
sp500_open,1.0,0.9998335366372753,0.9997812631262147,0.9996041362854138,0.3101525656238493,-0.1955492609316066,0.6503809449447929,0.4975830932442445,0.004360050024067702,0.00864144643706804,0.003695540006072479,0.04893007910767072,-0.192100878454656,-0.21126792080344148,-0.22883150473271305,0.026068302444648445,0.02792725093997376,0.06418389999720446,0.014710920819902855,-0.1807719663823829,-0.17243055080921635
sp500_high,0.9998335366372753,1.0,0.9996932819939119,0.9997964375717755,0.31511030570438836,-0.189741008200948,0.6503937371396802,0.49761909686086153,0.014558404540981873,0.0007473655946968539,-0.0033578932822081586,0.04885207745837049,-0.1846081491455809,-0.2043555620347925,-0.22276762929747304,0.022795324725233948,0.025042663473140263,0.058664076756065525,0.01543782780971812,-0.1749882921881595,-0.16793693908607155
sp500_low,0.9997812631262147,0.9996932819939119,1.0,0.9998084900149922,0.3027584570714916,-0.20555893724798385,0.6505737878733214,0.49780259258394155,0.017537315940068996,-0.002224902830033093,-0.00796435907369502,0.04872783963715017,-0.2000597541685655,-0.21821613829528605,-0.23433404409319544,0.027052467884677158,0.029414817892238588,0.06886010564904622,0.014059365597871125,-0.1881799662866472,-0.1808257130264712
sp500_close,0.9996041362854138,0.9997964375717755,0.9998084900149922,1.0,0.3086791379004999,-0.19918211159768853,0.6503316721767215,0.4975329505469315,0.027418491816516528,-0.009811735702181197,-0.01427092752628618,0.04896385873190509,-0.1915853777722775,-0.21072583701460312,-0.22779781567405197,0.023619796539294205,0.026745454952754714,0.06290006743678299,0.015079615227763505,-0.18143084906029028,-0.17539449209685323
sp500_volume,0.3101525656238493,0.31511030570438836,0.3027584570714916,0.3086791379004999,1.0,0.5183466744822164,0.01398560140114541,-0.0618252172097558,-0.06282218024272469,0.07870560716419978,0.09962817521757775,0.2194953922434383,0.4069163545513921,0.3930716434764323,0.3618049883933759,-0.07108280851116607,-0.03903499614942697,-0.16113499979072532,0.060740449843933876,0.4077087404907961,0.38644065770973035
vix_close,-0.1955492609316066,-0.189741008200948,-0.20555893724798385,-0.19918211159768853,0.5183466744822164,1.0,-0.36082689041345656,-0.3375960632409774,-0.1687154590326601,0.14498455917341466,0.15928705940981155,0.15821151161724026,0.8062277519650456,0.8309839325689985,0.7994362226099224,-0.11841210932139828,-0.12480816634430689,-0.2933485995565622,0.05845702457941059,0.80738188633893,0.7022402615763516
treasury_10y,0.6503809449447929,0.6503937371396802,0.6505737878733214,0.6503316721767215,0.01398560140114541,-0.36082689041345656,1.0,0.9581366576284216,-0.002448863072049021,-0.005399894300552618,-0.010434035088104164,-0.5062953373206918,-0.1734294454347535,-0.19218497192463405,-0.21975612642269118,-0.005470179368352568,-0.0055536310851850455,-0.013898384520464113,0.023778212238305806,-0.2085612734039547,-0.17007268141258458
treasury_2y,0.4975830932442445,0.49761909686086153,0.49780259258394155,0.4975329505469315,-0.0618252172097558,-0.3375960632409774,0.9581366576284216,1.0,-0.006023504544130517,-0.0019298731019637312,-0.010008743338109681,-0.7320035555129706,-0.13844994800618027,-0.1557122315585463,-0.17856246932949343,-0.006856126963492397,-0.004759498312086171,-0.012771587188903831,-0.005386054842053899,-0.1805911871908025,-0.13179604115801205
sp500_return,0.004360050024067702,0.014558404540981873,0.017537315940068996,0.027418491816516528,-0.06282218024272469,-0.1687154590326601,-0.002448863072049021,-0.006023504544130517,1.0,-0.7879173827691408,-0.7207154200191999,0.012315330283959867,-0.011503728139585091,0.005880981137079476,0.03023466847572886,-0.14763260671249964,-0.03372665016082324,-0.051849447076326015,0.00871632742377524,-0.081461996010257,-0.1714040115638931
vix_change,0.00864144643706804,0.0007473655946968539,-0.002224902830033093,-0.009811735702181197,0.07870560716419978,0.14498455917341466,-0.005399894300552618,-0.0019298731019637312,-0.7879173827691408,1.0,0.9212773871581659,-0.007036770433091831,-0.033828439436281436,-0.04899082921448783,-0.06280172507312481,0.17306072445077536,0.00296339539604398,0.09084666542079485,-0.020379302781028334,0.05287640956322507,0.13229308518805472
vix_pct_change,0.003695540006072479,-0.0033578932822081586,-0.00796435907369502,-0.01427092752628618,0.09962817521757775,0.15928705940981155,-0.010434035088104164,-0.010008743338109681,-0.7207154200191999,0.9212773871581659,1.0,0.005317376578089361,-0.003840305480170839,-0.02323553309699452,-0.03863145994849177,0.08399055093330911,0.018000990334661855,0.0662832408632945,-0.0038350433409213786,0.05372888743937211,0.14586353583386957
yield_spread_10y_2y,0.04893007910767072,0.04885207745837049,0.04872783963715017,0.04896385873190509,0.2194953922434383,0.15821151161724026,-0.5062953373206918,-0.7320035555129706,0.012315330283959867,-0.007036770433091831,0.005317376578089361,1.0,0.004317316544706051,0.01168045679306541,0.014896832414743448,0.007633695397421131,0.0011201386593082741,0.005395272098359748,0.07280479771339562,0.0476463213447605,-0.007736341099258462
realized_volatility_5d,-0.192100878454656,-0.1846081491455809,-0.2000597541685655,-0.1915853777722775,0.4069163545513921,0.8062277519650456,-0.1734294454347535,-0.13844994800618027,-0.011503728139585091,-0.033828439436281436,-0.003840305480170839,0.004317316544706051,1.0,0.9008955341562481,0.7744642488877697,-0.05803107051293178,-0.12962737925199208,-0.3142277351521971,0.0697553875775771,0.9126603383714772,0.6390179841817895
realized_volatility_10d,-0.21126792080344148,-0.2043555620347925,-0.21821613829528605,-0.21072583701460312,0.3930716434764323,0.8309839325689985,-0.19218497192463405,-0.1557122315585463,0.005880981137079476,-0.04899082921448783,-0.02323553309699452,0.01168045679306541,0.9008955341562481,1.0,0.894233979635425,-0.0214595285677308,-0.07114936653259549,-0.17621067715028818,0.044394713856998745,0.8573792326938156,0.6352867993074905
realized_volatility_21d,-0.22883150473271305,-0.22276762929747304,-0.23433404409319544,-0.22779781567405197,0.3618049883933759,0.7994362226099224,-0.21975612642269118,-0.17856246932949343,0.03023466847572886,-0.06280172507312481,-0.03863145994849177,0.014896832414743448,0.7744642488877697,0.894233979635425,1.0,0.01272280130112735,-0.013638596196139621,-0.03342923441003768,-0.003280685671369181,0.7426465341019182,0.568204887894249
sp500_return_lag_1,0.026068302444648445,0.022795324725233948,0.027052467884677158,0.023619796539294205,-0.07108280851116607,-0.11841210932139828,-0.005470179368352568,-0.006856126963492397,-0.14763260671249964,0.17306072445077536,0.08399055093330911,0.007633695397421131,-0.05803107051293178,-0.0214595285677308,0.01272280130112735,1.0,0.09264069302867435,0.41731182012636947,-0.013675303710697978,-0.06252727113915153,-0.1707712675495862
sp500_return_lag_3,0.02792725093997376,0.025042663473140263,0.029414817892238588,0.026745454952754714,-0.03903499614942697,-0.12480816634430689,-0.0055536310851850455,-0.004759498312086171,-0.03372665016082324,0.00296339539604398,0.018000990334661855,0.0011201386593082741,-0.12962737925199208,-0.07114936653259549,-0.013638596196139621,0.09264069302867435,1.0,0.43896644640164856,-0.057142366364162464,-0.12853728237616782,-0.12814403132730742
sp500_return_rolling_mean_5,0.06418389999720446,0.058664076756065525,0.06886010564904622,0.06290006743678299,-0.16113499979072532,-0.2933485995565622,-0.013898384520464113,-0.012771587188903831,-0.051849447076326015,0.09084666542079485,0.0662832408632945,0.005395272098359748,-0.3142277351521971,-0.17621067715028818,-0.03342923441003768,0.41731182012636947,0.43896644640164856,1.0,-0.13898624642343763,-0.294382919397209,-0.31082828240490534
